order_id,order_date,state,region,product_name,price,quantity,discount,revenue,month,cost,profit
1,2023-11-26,Karnataka,South,AC,29073,2,5,55238.7,11,20351.1,17443.800000000003
2,2023-02-03,Delhi,North,Smartphone,12826,1,0,12826.0,2,8978.199999999999,3847.800000000001
3,2023-11-02,Gujarat,West,TV,20361,1,10,18324.9,11,14252.699999999999,6108.300000000001
4,2023-09-30,Maharashtra,West,Refrigerator,28853,4,10,103870.8,9,20197.1,34623.600000000006
5,2023-12-14,Uttar Pradesh,North,Winter Jacket,21555,1,20,17244.0,12,15088.499999999998,6466.500000000002
6,2023-11-28,Uttar Pradesh,North,Heater,7290,4,20,23328.0,11,5103.0,8748.0
7,2023-10-12,Maharashtra,West,TV,19791,2,10,35623.8,10,13853.699999999999,11874.600000000002
8,2023-09-26,Uttar Pradesh,North,Heater,29224,1,20,23379.2,9,20456.8,8767.2
9,2023-04-24,Gujarat,West,Mixer,14647,4,20,46870.4,4,10252.9,17576.4
10,2023-06-06,Maharashtra,West,Refrigerator,9571,3,10,25841.7,6,6699.7,8613.900000000001
11,2023-04-13,Tamil Nadu,South,Fan,8634,3,0,25902.0,4,6043.799999999999,7770.600000000002
12,2023-09-07,Delhi,North,Heater,29239,2,0,58478.0,9,20467.3,17543.4
13,2023-12-14,West Bengal,East,Tablet,12002,2,0,24004.0,12,8401.4,7201.200000000001
14,2023-06-25,Delhi,North,Winter Jacket,20854,5,20,83416.0,6,14597.8,31281.000000000004
15,2023-07-22,Tamil Nadu,South,Fan,15175,5,15,64493.75,7,10622.5,22762.5
16,2023-05-26,Maharashtra,West,Mixer,16618,3,15,42375.9,5,11632.599999999999,14956.200000000004
17,2023-04-23,Karnataka,South,AC,11527,5,15,48989.75,4,8068.9,17290.5
18,2023-07-12,West Bengal,East,Mobile,29011,1,15,24659.35,7,20307.699999999997,8703.300000000003
19,2023-05-12,Gujarat,West,Mixer,7395,3,0,22185.0,5,5176.5,6655.5
20,2023-02-13,West Bengal,East,Tablet,4579,3,20,10989.6,2,3205.2999999999997,4121.1
21,2023-10-14,Tamil Nadu,South,Laptop,16365,3,15,41730.75,10,11455.5,14728.5
22,2023-10-21,Gujarat,West,TV,9696,3,15,24724.8,10,6787.2,8726.400000000001
23,2023-10-15,Maharashtra,West,Mixer,23548,5,25,88305.0,10,16483.6,35322.00000000001
24,2023-04-30,Delhi,North,Heater,20366,3,15,51933.3,4,14256.199999999999,18329.4
25,2023-09-22,West Bengal,East,Tablet,21849,4,15,74286.59999999999,9,15294.3,26218.800000000003
26,2023-01-12,Tamil Nadu,South,AC,20503,4,20,65609.6,1,14352.099999999999,24603.600000000006
27,2023-04-12,Maharashtra,West,Refrigerator,23580,3,10,63666.0,4,16506.0,21222.0
28,2023-07-24,Tamil Nadu,South,Laptop,29079,4,15,98868.6,7,20355.3,34894.8
29,2023-09-05,Maharashtra,West,Refrigerator,3072,4,15,10444.8,9,2150.3999999999996,3686.4000000000015
30,2023-12-21,Delhi,North,Smartphone,10065,3,5,28685.25,12,7045.5,9058.5
31,2023-01-07,Karnataka,South,Laptop,13020,2,10,23436.0,1,9114.0,7812.0
32,2023-12-07,Tamil Nadu,South,Laptop,2339,2,10,4210.2,12,1637.3,1403.4
33,2023-02-25,Uttar Pradesh,North,Winter Jacket,6766,2,20,10825.6,2,4736.2,4059.6000000000004
34,2023-05-13,Uttar Pradesh,North,Smartphone,28895,4,5,109801.0,5,20226.5,34674.0
35,2023-10-17,Uttar Pradesh,North,Winter Jacket,26208,4,10,94348.8,10,18345.6,31449.600000000006
36,2023-01-10,West Bengal,East,Headphones,24710,2,10,44478.0,1,17297.0,14826.0
37,2023-07-01,Uttar Pradesh,North,Winter Jacket,19478,4,15,66225.2,7,13634.599999999999,23373.600000000006
38,2023-08-16,Maharashtra,West,Refrigerator,8462,4,5,32155.6,8,5923.4,10154.400000000001
39,2023-03-19,Karnataka,South,Fan,9353,2,10,16835.4,3,6547.099999999999,5611.800000000001
40,2023-07-26,Maharashtra,West,Mixer,4014,3,15,10235.7,7,2809.7999999999997,3612.600000000001
41,2023-08-21,Gujarat,West,TV,13079,4,15,44468.6,8,9155.3,15694.800000000003
42,2023-09-22,Karnataka,South,Fan,27225,1,5,25863.75,9,19057.5,8167.5
43,2023-10-26,Karnataka,South,Laptop,7152,1,10,6436.8,10,5006.4,2145.6000000000004
44,2023-03-02,Tamil Nadu,South,Fan,7884,3,5,22469.4,3,5518.799999999999,7095.600000000002
45,2023-07-28,Karnataka,South,AC,23735,1,20,18988.0,7,16614.5,7120.5
46,2023-05-06,Delhi,North,Smartphone,11915,2,10,21447.0,5,8340.5,7149.0
47,2023-08-07,Karnataka,South,AC,7651,2,15,13006.7,8,5355.7,4590.6
48,2023-06-20,Karnataka,South,AC,12007,2,15,20411.9,6,8404.9,7204.200000000001
49,2023-12-05,Maharashtra,West,Refrigerator,28279,4,10,101804.4,12,19795.3,33934.8
50,2023-10-25,Karnataka,South,Fan,28063,4,0,112252.0,10,19644.1,33675.600000000006
51,2023-08-03,Maharashtra,West,Refrigerator,8185,1,5,7775.75,8,5729.5,2455.5
52,2023-12-06,Maharashtra,West,TV,2922,3,5,8327.699999999999,12,2045.3999999999999,2629.8
53,2023-02-28,Tamil Nadu,South,Fan,1413,4,10,5086.8,2,989.0999999999999,1695.6000000000004
54,2023-02-28,West Bengal,East,Tablet,17573,1,0,17573.0,2,12301.099999999999,5271.9000000000015
55,2023-04-26,Gujarat,West,Mixer,24687,4,0,98748.0,4,17280.899999999998,29624.40000000001
56,2023-12-24,West Bengal,East,Headphones,12181,5,20,48724.0,12,8526.699999999999,18271.500000000007
57,2023-01-09,Tamil Nadu,South,Laptop,24741,3,5,70511.84999999999,1,17318.699999999997,22266.90000000001
58,2023-11-13,Gujarat,West,Mixer,6273,1,5,5959.349999999999,11,4391.099999999999,1881.9000000000005
59,2023-10-27,Uttar Pradesh,North,Heater,11922,2,15,20267.4,10,8345.4,7153.200000000001
60,2023-03-03,Delhi,North,Smartphone,3173,2,10,5711.400000000001,3,2221.1,1903.8000000000002
61,2023-03-25,Maharashtra,West,TV,29784,3,25,67014.0,3,20848.8,26805.600000000002
62,2023-09-19,Karnataka,South,Fan,6739,1,0,6739.0,9,4717.299999999999,2021.7000000000007
63,2023-10-01,Gujarat,West,TV,12608,2,20,20172.800000000003,10,8825.599999999999,7564.800000000003
64,2023-03-16,Tamil Nadu,South,Laptop,5925,2,15,10072.5,3,4147.5,3555.0
65,2023-01-19,Uttar Pradesh,North,Smartphone,28541,3,10,77060.7,1,19978.699999999997,25686.90000000001
66,2023-12-02,Maharashtra,West,Refrigerator,7026,4,10,25293.6,12,4918.2,8431.2
67,2023-02-24,West Bengal,East,Headphones,29909,1,5,28413.55,2,20936.3,8972.7
68,2023-03-04,Karnataka,South,AC,19422,5,15,82543.5,3,13595.4,29133.0
69,2023-12-19,Karnataka,South,Fan,4205,4,15,14297.0,12,2943.5,5046.0
70,2023-01-23,Delhi,North,Heater,11467,2,20,18347.2,1,8026.9,6880.200000000001
71,2023-02-01,Gujarat,West,Mixer,21667,1,15,18416.95,2,15166.9,6500.1
72,2023-04-19,West Bengal,East,Mobile,22521,1,20,18016.8,4,15764.699999999999,6756.300000000001
73,2023-05-07,Tamil Nadu,South,AC,23805,2,15,40468.5,5,16663.5,14283.0
74,2023-08-26,Maharashtra,West,TV,9738,3,25,21910.5,8,6816.599999999999,8764.2
75,2023-11-29,Karnataka,South,Laptop,6605,4,10,23778.0,11,4623.5,7926.0
76,2023-07-24,Uttar Pradesh,North,Heater,29990,4,20,95968.0,7,20993.0,35988.0
77,2023-06-28,Maharashtra,West,Mixer,2581,1,20,2064.8,6,1806.6999999999998,774.3000000000002
78,2023-02-07,Uttar Pradesh,North,Heater,15708,4,0,62832.0,2,10995.599999999999,18849.600000000006
79,2023-06-28,Tamil Nadu,South,Fan,4129,1,15,3509.65,6,2890.2999999999997,1238.7000000000003
80,2023-03-28,Karnataka,South,AC,26958,1,20,21566.4,3,18870.6,8087.4000000000015
81,2023-10-24,Gujarat,West,TV,3289,1,5,3124.5499999999997,10,2302.2999999999997,986.7000000000003
82,2023-07-25,West Bengal,East,Mobile,17219,3,15,43908.45,7,12053.3,15497.100000000002
83,2023-07-29,Tamil Nadu,South,Fan,16128,4,15,54835.2,7,11289.599999999999,19353.600000000006
84,2023-06-25,Karnataka,South,Laptop,4274,5,5,20301.5,6,2991.7999999999997,6411.000000000002
85,2023-01-24,Tamil Nadu,South,Fan,22729,3,10,61368.3,1,15910.3,20456.100000000002
86,2023-08-06,Delhi,North,Heater,29257,3,5,83382.45,8,20479.899999999998,26331.300000000007
87,2023-09-09,Tamil Nadu,South,Fan,23718,3,15,60480.9,9,16602.6,21346.200000000004
88,2023-01-05,Maharashtra,West,TV,1262,4,15,4290.8,1,883.4,1514.4
89,2023-09-29,Maharashtra,West,TV,14314,2,20,22902.4,9,10019.8,8588.400000000001
90,2023-09-18,Tamil Nadu,South,Laptop,19329,2,15,32859.299999999996,9,13530.3,11597.400000000001
91,2023-01-26,Karnataka,South,Laptop,1731,4,10,6231.6,1,1211.6999999999998,2077.2000000000007
92,2023-09-07,Uttar Pradesh,North,Winter Jacket,28761,3,20,69026.40000000001,9,20132.699999999997,25884.90000000001
93,2023-06-07,Tamil Nadu,South,Laptop,16584,1,5,15754.8,6,11608.8,4975.200000000001
94,2023-07-13,Maharashtra,West,Refrigerator,28886,4,0,115544.0,7,20220.199999999997,34663.20000000001
95,2023-06-18,Delhi,North,Winter Jacket,16381,3,10,44228.7,6,11466.699999999999,14742.900000000003
96,2023-01-12,Tamil Nadu,South,Laptop,872,1,15,741.1999999999999,1,610.4,261.6
97,2023-10-02,Karnataka,South,AC,27826,3,0,83478.0,10,19478.199999999997,25043.40000000001
98,2023-06-04,Delhi,North,Heater,11465,4,15,38981.0,6,8025.499999999999,13758.000000000004
99,2023-03-05,Maharashtra,West,TV,22966,4,15,78084.4,3,16076.199999999999,27559.200000000004
100,2023-02-13,Gujarat,West,TV,12837,1,5,12195.15,2,8985.9,3851.1000000000004
101,2023-11-02,Maharashtra,West,TV,19944,1,20,15955.2,11,13960.8,5983.200000000001
102,2023-10-18,Delhi,North,Smartphone,16835,2,5,31986.5,10,11784.5,10101.0
103,2023-02-27,Karnataka,South,AC,8136,3,0,24408.0,2,5695.2,7322.400000000001
104,2023-04-12,Karnataka,South,AC,18569,1,5,17640.55,4,12998.3,5570.700000000001
105,2023-08-15,Uttar Pradesh,North,Heater,7966,2,15,13542.2,8,5576.2,4779.6
106,2023-04-03,Tamil Nadu,South,AC,4155,2,0,8310.0,4,2908.5,2493.0
107,2023-01-11,Maharashtra,West,Refrigerator,28136,3,15,71746.8,1,19695.199999999997,25322.40000000001
108,2023-11-08,Delhi,North,Smartphone,2810,3,15,7165.5,11,1966.9999999999998,2529.000000000001
109,2023-04-18,West Bengal,East,Headphones,14893,1,0,14893.0,4,10425.099999999999,4467.9000000000015
110,2023-05-04,Uttar Pradesh,North,Heater,11185,4,5,42503.0,5,7829.499999999999,13422.000000000004
111,2023-01-08,West Bengal,East,Tablet,28935,3,5,82464.75,1,20254.5,26041.5
112,2023-08-31,Uttar Pradesh,North,Winter Jacket,6656,1,15,5657.599999999999,8,4659.2,1996.8000000000002
113,2023-08-12,Maharashtra,West,TV,18508,4,15,62927.2,8,12955.599999999999,22209.600000000006
114,2023-06-20,Uttar Pradesh,North,Smartphone,13922,1,20,11137.6,6,9745.4,4176.6
115,2023-11-10,Maharashtra,West,Refrigerator,26564,3,0,79692.0,11,18594.8,23907.600000000002
116,2023-02-15,West Bengal,East,Headphones,10828,2,10,19490.4,2,7579.599999999999,6496.800000000001
117,2023-04-09,Tamil Nadu,South,Fan,21188,3,10,57207.6,4,14831.599999999999,19069.200000000004
118,2023-06-26,Delhi,North,Heater,16712,1,10,15040.8,6,11698.4,5013.6
119,2023-07-16,Tamil Nadu,South,Fan,16667,4,5,63334.6,7,11666.9,20000.4
120,2023-07-27,Delhi,North,Heater,7193,1,20,5754.400000000001,7,5035.099999999999,2157.9000000000005
121,2023-11-21,Karnataka,South,AC,9280,2,5,17632.0,11,6496.0,5568.0
122,2023-02-21,West Bengal,East,Mobile,15096,2,5,28682.4,2,10567.199999999999,9057.600000000002
123,2023-04-22,Tamil Nadu,South,AC,17198,2,25,25797.0,4,12038.599999999999,10318.800000000003
124,2023-09-15,Tamil Nadu,South,Fan,20304,3,15,51775.2,9,14212.8,18273.600000000002
125,2023-05-11,Delhi,North,Smartphone,13780,4,5,52364.0,5,9646.0,16536.0
126,2023-08-05,Gujarat,West,Mixer,9075,2,25,13612.5,8,6352.5,5445.0
127,2023-11-08,Gujarat,West,Refrigerator,29161,2,20,46657.600000000006,11,20412.699999999997,17496.600000000006
128,2023-09-13,Uttar Pradesh,North,Smartphone,27850,3,0,83550.0,9,19495.0,25065.0
129,2023-12-08,Gujarat,West,TV,5595,3,5,15945.75,12,3916.4999999999995,5035.500000000002
130,2023-04-04,Delhi,North,Smartphone,18729,4,0,74916.0,4,13110.3,22474.800000000003
131,2023-03-28,Karnataka,South,AC,25006,4,10,90021.6,3,17504.199999999997,30007.20000000001
