order_id,order_date,state,region,product_name,price,quantity,discount,revenue
1,2023-11-26,Karnataka,South,AC,29073,2,5,55238.7
2,2023-02-03,Delhi,North,Smartphone,12826,1,0,12826.0
3,2023-11-02,Gujarat,West,TV,20361,1,10,18324.9
4,2023-09-30,Maharashtra,West,Refrigerator,28853,4,10,103870.8
5,2023-12-14,Uttar Pradesh,North,Winter Jacket,21555,1,20,17244.0
6,2023-11-28,Uttar Pradesh,North,Heater,7290,4,20,23328.0
7,2023-10-12,Maharashtra,West,TV,19791,2,10,35623.8
8,2023-09-26,Uttar Pradesh,North,Heater,29224,1,20,23379.2
9,2023-04-24,Gujarat,West,Mixer,14647,4,20,46870.4
10,2023-06-06,Maharashtra,West,Refrigerator,9571,3,10,25841.7
11,2023-04-13,Tamil Nadu,South,Fan,8634,3,0,25902.0
12,2023-09-07,Delhi,North,Heater,29239,2,0,58478.0
13,2023-12-14,West Bengal,East,Tablet,12002,2,0,24004.0
14,2023-06-25,Delhi,North,Winter Jacket,20854,5,20,83416.0
15,2023-07-22,Tamil Nadu,South,Fan,15175,5,15,64493.75
16,2023-05-26,Maharashtra,West,Mixer,16618,3,15,42375.9
17,2023-04-23,Karnataka,South,AC,11527,5,15,48989.75
18,2023-07-12,West Bengal,East,Mobile,29011,1,15,24659.35
19,2023-05-12,Gujarat,West,Mixer,7395,3,0,22185.0
20,2023-02-13,West Bengal,East,Tablet,4579,3,20,10989.6
21,2023-10-14,Tamil Nadu,South,Laptop,16365,3,15,41730.75
22,2023-10-21,Gujarat,West,TV,9696,3,15,24724.8
23,2023-10-15,Maharashtra,West,Mixer,23548,5,25,88305.0
24,2023-04-30,Delhi,North,Heater,20366,3,15,51933.299999999996
25,2023-09-22,West Bengal,East,Tablet,21849,4,15,74286.59999999999
26,2023-01-12,Tamil Nadu,South,AC,20503,4,20,65609.6
27,2023-04-12,Maharashtra,West,Refrigerator,23580,3,10,63666.0
28,2023-07-24,Tamil Nadu,South,Laptop,29079,4,15,98868.59999999999
29,2023-09-05,Maharashtra,West,Refrigerator,3072,4,15,10444.8
30,2023-12-21,Delhi,North,Smartphone,10065,3,5,28685.25
31,2023-01-07,Karnataka,South,Laptop,13020,2,10,23436.0
32,2023-12-07,Tamil Nadu,South,Laptop,2339,2,10,4210.2
33,2023-02-25,Uttar Pradesh,North,Winter Jacket,6766,2,20,10825.6
34,2023-05-13,Uttar Pradesh,North,Smartphone,28895,4,5,109801.0
35,2023-10-17,Uttar Pradesh,North,Winter Jacket,26208,4,10,94348.8
36,2023-01-10,West Bengal,East,Headphones,24710,2,10,44478.0
37,2023-07-01,Uttar Pradesh,North,Winter Jacket,19478,4,15,66225.2
38,2023-08-16,Maharashtra,West,Refrigerator,8462,4,5,32155.6
39,2023-03-19,Karnataka,South,Fan,9353,2,10,16835.4
40,2023-07-26,Maharashtra,West,Mixer,4014,3,15,10235.699999999999
41,2023-08-21,Gujarat,West,TV,13079,4,15,44468.6
42,2023-09-22,Karnataka,South,Fan,27225,1,5,25863.75
43,2023-10-26,Karnataka,South,Laptop,7152,1,10,6436.8
44,2023-03-02,Tamil Nadu,South,Fan,7884,3,5,22469.399999999998
45,2023-07-28,Karnataka,South,AC,23735,1,20,18988.0
46,2023-05-06,Delhi,North,Smartphone,11915,2,10,21447.0
47,2023-08-07,Karnataka,South,AC,7651,2,15,13006.699999999999
48,2023-06-20,Karnataka,South,AC,12007,2,15,20411.899999999998
49,2023-12-05,Maharashtra,West,Refrigerator,28279,4,10,101804.40000000001
50,2023-10-25,Karnataka,South,Fan,28063,4,0,112252.0
51,2023-08-03,Maharashtra,West,Refrigerator,8185,1,5,7775.75
52,2023-12-06,Maharashtra,West,TV,2922,3,5,8327.699999999999
53,2023-02-28,Tamil Nadu,South,Fan,1413,4,10,5086.8
54,2023-02-28,West Bengal,East,Tablet,17573,1,0,17573.0
55,2023-04-26,Gujarat,West,Mixer,24687,4,0,98748.0
56,2023-12-24,West Bengal,East,Headphones,12181,5,20,48724.0
57,2023-01-09,Tamil Nadu,South,Laptop,24741,3,5,70511.84999999999
58,2023-11-13,Gujarat,West,Mixer,6273,1,5,5959.349999999999
59,2023-10-27,Uttar Pradesh,North,Heater,11922,2,15,20267.399999999998
60,2023-03-03,Delhi,North,Smartphone,3173,2,10,5711.400000000001
61,2023-03-25,Maharashtra,West,TV,29784,3,25,67014.0
62,2023-09-19,Karnataka,South,Fan,6739,1,0,6739.0
63,2023-10-01,Gujarat,West,TV,12608,2,20,20172.800000000003
64,2023-03-16,Tamil Nadu,South,Laptop,5925,2,15,10072.5
65,2023-01-19,Uttar Pradesh,North,Smartphone,28541,3,10,77060.7
66,2023-12-02,Maharashtra,West,Refrigerator,7026,4,10,25293.600000000002
67,2023-02-24,West Bengal,East,Headphones,29909,1,5,28413.55
68,2023-03-04,Karnataka,South,AC,19422,5,15,82543.5
69,2023-12-19,Karnataka,South,Fan,4205,4,15,14297.0
70,2023-01-23,Delhi,North,Heater,11467,2,20,18347.2
71,2023-02-01,Gujarat,West,Mixer,21667,1,15,18416.95
72,2023-04-19,West Bengal,East,Mobile,22521,1,20,18016.8
73,2023-05-07,Tamil Nadu,South,AC,23805,2,15,40468.5
74,2023-08-26,Maharashtra,West,TV,9738,3,25,21910.5
75,2023-11-29,Karnataka,South,Laptop,6605,4,10,23778.0
76,2023-07-24,Uttar Pradesh,North,Heater,29990,4,20,95968.0
77,2023-06-28,Maharashtra,West,Mixer,2581,1,20,2064.8
78,2023-02-07,Uttar Pradesh,North,Heater,15708,4,0,62832.0
79,2023-06-28,Tamil Nadu,South,Fan,4129,1,15,3509.65
80,2023-03-28,Karnataka,South,AC,26958,1,20,21566.4
81,2023-10-24,Gujarat,West,TV,3289,1,5,3124.5499999999997
82,2023-07-25,West Bengal,East,Mobile,17219,3,15,43908.45
83,2023-07-29,Tamil Nadu,South,Fan,16128,4,15,54835.2
84,2023-06-25,Karnataka,South,Laptop,4274,5,5,20301.5
85,2023-01-24,Tamil Nadu,South,Fan,22729,3,10,61368.3
86,2023-08-06,Delhi,North,Heater,29257,3,5,83382.45
87,2023-09-09,Tamil Nadu,South,Fan,23718,3,15,60480.9
88,2023-01-05,Maharashtra,West,TV,1262,4,15,4290.8
89,2023-09-29,Maharashtra,West,TV,14314,2,20,22902.4
90,2023-09-18,Tamil Nadu,South,Laptop,19329,2,15,32859.299999999996
91,2023-01-26,Karnataka,South,Laptop,1731,4,10,6231.6
92,2023-09-07,Uttar Pradesh,North,Winter Jacket,28761,3,20,69026.40000000001
93,2023-06-07,Tamil Nadu,South,Laptop,16584,1,5,15754.8
94,2023-07-13,Maharashtra,West,Refrigerator,28886,4,0,115544.0
95,2023-06-18,Delhi,North,Winter Jacket,16381,3,10,44228.700000000004
96,2023-01-12,Tamil Nadu,South,Laptop,872,1,15,741.1999999999999
97,2023-10-02,Karnataka,South,AC,27826,3,0,83478.0
98,2023-06-04,Delhi,North,Heater,11465,4,15,38981.0
99,2023-03-05,Maharashtra,West,TV,22966,4,15,78084.4
100,2023-02-13,Gujarat,West,TV,12837,1,5,12195.15
101,2023-11-02,Maharashtra,West,TV,19944,1,20,15955.2
102,2023-10-18,Delhi,North,Smartphone,16835,2,5,31986.5
103,2023-02-27,Karnataka,South,AC,8136,3,0,24408.0
104,2023-04-12,Karnataka,South,AC,18569,1,5,17640.55
105,2023-08-15,Uttar Pradesh,North,Heater,7966,2,15,13542.199999999999
106,2023-04-03,Tamil Nadu,South,AC,4155,2,0,8310.0
107,2023-01-11,Maharashtra,West,Refrigerator,28136,3,15,71746.8
108,2023-11-08,Delhi,North,Smartphone,2810,3,15,7165.5
109,2023-04-18,West Bengal,East,Headphones,14893,1,0,14893.0
110,2023-05-04,Uttar Pradesh,North,Heater,11185,4,5,42503.0
111,2023-01-08,West Bengal,East,Tablet,28935,3,5,82464.75
112,2023-08-31,Uttar Pradesh,North,Winter Jacket,6656,1,15,5657.599999999999
113,2023-08-12,Maharashtra,West,TV,18508,4,15,62927.2
114,2023-06-20,Uttar Pradesh,North,Smartphone,13922,1,20,11137.6
115,2023-11-10,Maharashtra,West,Refrigerator,26564,3,0,79692.0
116,2023-02-15,West Bengal,East,Headphones,10828,2,10,19490.4
117,2023-04-09,Tamil Nadu,South,Fan,21188,3,10,57207.6
118,2023-06-26,Delhi,North,Heater,16712,1,10,15040.800000000001
119,2023-07-16,Tamil Nadu,South,Fan,16667,4,5,63334.6
120,2023-07-27,Delhi,North,Heater,7193,1,20,5754.400000000001
121,2023-11-21,Karnataka,South,AC,9280,2,5,17632.0
122,2023-02-21,West Bengal,East,Mobile,15096,2,5,28682.399999999998
123,2023-04-22,Tamil Nadu,South,AC,17198,2,25,25797.0
124,2023-09-15,Tamil Nadu,South,Fan,20304,3,15,51775.2
125,2023-05-11,Delhi,North,Smartphone,13780,4,5,52364.0
126,2023-08-05,Gujarat,West,Mixer,9075,2,25,13612.5
